candidate,symbol,d,entry_time,exit_time,side,r_multiple,pnl
BTC_D3,BTCUSDT,3,2025-01-23 22:00:00+00:00,2025-01-24 14:00:00+00:00,short,-1.0559441836680692,-16.89294183925842
BTC_D3,BTCUSDT,3,2025-01-25 14:00:00+00:00,2025-01-26 04:00:00+00:00,long,1.926335902387129,30.16659508737102
BTC_D3,BTCUSDT,3,2025-01-31 05:00:00+00:00,2025-01-31 15:00:00+00:00,short,-1.1698229758790848,-19.02532550934822
BTC_D3,BTCUSDT,3,2025-02-01 03:00:00+00:00,2025-02-01 09:00:00+00:00,long,-1.1443737905854845,-18.175992974828922
BTC_D3,BTCUSDT,3,2025-02-04 14:00:00+00:00,2025-02-04 19:00:00+00:00,long,1.96802371217512,30.542539923636955
BTC_D3,BTCUSDT,3,2025-02-04 19:00:00+00:00,2025-02-04 20:00:00+00:00,short,1.9706885233987803,31.787692843149756
BTC_D3,BTCUSDT,3,2025-02-06 06:00:00+00:00,2025-02-06 10:00:00+00:00,short,-1.1378448127533047,-19.07710722145822
BTC_D3,BTCUSDT,3,2025-02-09 13:00:00+00:00,2025-02-09 21:00:00+00:00,long,-1.174941300255205,-19.250777343201214
BTC_D3,BTCUSDT,3,2025-02-10 06:00:00+00:00,2025-02-11 19:00:00+00:00,long,-1.064095210776199,-17.024930955918585
BTC_D3,BTCUSDT,3,2025-02-12 13:00:00+00:00,2025-02-12 14:00:00+00:00,short,1.9579495904281299,30.659424260626416
BTC_D3,BTCUSDT,3,2025-02-12 18:00:00+00:00,2025-02-18 18:00:00+00:00,long,-1.0396532924269748,-16.91737678704018
BTC_D3,BTCUSDT,3,2025-02-20 08:00:00+00:00,2025-02-20 12:00:00+00:00,short,-1.3038428200409504,-20.775151947693722
BTC_D3,BTCUSDT,3,2025-02-23 22:00:00+00:00,2025-02-23 23:00:00+00:00,long,1.8762793620043878,29.11663329881531
BTC_D3,BTCUSDT,3,2025-02-24 08:00:00+00:00,2025-02-24 14:00:00+00:00,long,-1.18765126029755,-19.121915963262783
BTC_D3,BTCUSDT,3,2025-02-27 15:00:00+00:00,2025-02-27 19:00:00+00:00,short,1.9767155192448096,31.070364223344534
BTC_D3,BTCUSDT,3,2025-03-06 21:00:00+00:00,2025-03-07 00:00:00+00:00,short,1.9860091422463988,32.45056358178633
BTC_D3,BTCUSDT,3,2025-03-08 22:00:00+00:00,2025-03-09 09:00:00+00:00,long,-1.1768157478990247,-19.992446673904226
BTC_D3,BTCUSDT,3,2025-03-11 14:00:00+00:00,2025-03-14 15:00:00+00:00,long,1.990849067273241,33.02569055275632
BTC_D3,BTCUSDT,3,2025-03-15 11:00:00+00:00,2025-03-16 11:00:00+00:00,short,1.9511771786384224,33.656363122207445
BTC_D3,BTCUSDT,3,2025-03-19 17:00:00+00:00,2025-03-19 18:00:00+00:00,long,1.9456303097559033,34.870340540919905
BTC_D3,BTCUSDT,3,2025-03-21 21:00:00+00:00,2025-03-22 23:00:00+00:00,short,1.936204407523212,36.05172800855386
BTC_D3,BTCUSDT,3,2025-03-26 00:00:00+00:00,2025-03-26 07:00:00+00:00,short,-1.2052845427898702,-23.31120220543774
BTC_D3,BTCUSDT,3,2025-03-27 10:00:00+00:00,2025-03-27 13:00:00+00:00,long,-1.222672789096585,-23.077465851035313
BTC_D3,BTCUSDT,3,2025-03-27 14:00:00+00:00,2025-03-27 21:00:00+00:00,short,-1.2490531577927853,-22.998885256142664
BTC_D3,BTCUSDT,3,2025-03-31 13:00:00+00:00,2025-03-31 14:00:00+00:00,long,1.9630489666284319,35.24277103188891
BTC_D3,BTCUSDT,3,2025-04-04 20:00:00+00:00,2025-04-06 17:00:00+00:00,long,-1.0526499877849627,-19.64027328876178
BTC_D3,BTCUSDT,3,2025-04-09 11:00:00+00:00,2025-04-09 13:00:00+00:00,long,1.9745710548551167,36.06579278800701
BTC_D3,BTCUSDT,3,2025-04-10 22:00:00+00:00,2025-04-11 08:00:00+00:00,long,1.9780604650899496,37.55633368922816
BTC_D3,BTCUSDT,3,2025-04-12 02:00:00+00:00,2025-04-13 01:00:00+00:00,long,1.9842161555497604,39.163606040670246
BTC_D3,BTCUSDT,3,2025-04-14 23:00:00+00:00,2025-04-15 01:00:00+00:00,short,-1.2179666417525674,-24.9937016397689
BTC_D3,BTCUSDT,3,2025-04-16 17:00:00+00:00,2025-04-16 18:00:00+00:00,short,1.9411183065600355,38.86306842924059
BTC_D3,BTCUSDT,3,2025-04-18 07:00:00+00:00,2025-04-21 00:00:00+00:00,long,1.9671680023116933,40.91361226047964
