candidate,freq,period,trades,pf,expectancy_r,wins,losses
BTC_D4,M,2024-05,11,0.6289868546744211,-0.3168276833889491,3,8
BTC_D4,M,2024-06,4,0.5521059931338779,-0.39753843603625816,1,3
BTC_D4,M,2024-07,4,1.6150796540914565,0.3736847430682357,2,2
BTC_D4,M,2024-08,4,0.5325066617545556,-0.43504758918911657,1,3
BTC_D4,M,2024-09,5,0.4050162813928747,-0.5768210826630048,1,4
BTC_D4,M,2024-10,8,1.0419085584873962,0.02938232334502483,3,5
BTC_D4,M,2024-11,6,7.882889188792615,1.423595541784202,5,1
BTC_D4,M,2024-12,4,0.5386388100243535,-0.41039365918404475,1,3
BTC_D4,M,2025-01,7,2.4127112297043762,0.6538611333200409,4,3
BTC_D4,M,2025-02,8,1.7348633740791806,0.4130679147289692,4,4
BTC_D4,M,2025-03,2,inf,1.9710131229558319,2,0
BTC_D4,M,2025-04,5,1.0462579142311572,0.03456016160695059,2,3
BTC_D4,M,2025-05,6,0.8588448424895514,-0.10686749750027084,2,4
BTC_D4,M,2025-06,7,2.143497327124854,0.5893226455129097,4,3
BTC_D4,M,2025-07,8,1.6002764057680623,0.3649278841823954,4,4
BTC_D4,M,2025-08,7,1.1282000237585736,0.09414325049855167,3,4
BTC_D4,M,2025-09,6,3.287861002827342,0.890482334084739,4,2
BTC_D4,M,2025-10,5,1.1160270122400455,0.08112867168848062,2,3
BTC_D4,M,2025-11,4,1.6441510859283375,0.3811957088855945,2,2
BTC_D4,M,2025-12,7,1.2498006886330293,0.16896443986754978,3,4
BTC_D4,M,2026-01,5,2.420809060737778,0.6599613152715562,3,2
BTC_D4,M,2026-02,2,1.644787257651437,0.37985530882501317,1,1
BTC_D4,M,2026-03,12,3.43684827716028,0.9307345129753616,8,4
BTC_D4,M,2026-04,5,0.40247149680520744,-0.5655430119815759,1,4
BTC_D4,M,2026-05,2,inf,1.9351918187312274,2,0
BTC_D4,M,2026-06,4,0.5456682879660445,-0.4038278762544793,1,3
BTC_D4,M,2026-07,2,1.7031992278158772,0.40477360674643104,1,1
BTC_D4,M,2026-08,6,0.7609659754834949,-0.20129534414931594,2,4
BTC_D4,M,2026-09,4,0.0,-1.219604854164284,0,4
BTC_D4,Q,2019Q3,6,1.739415750361134,0.4171191866350073,3,3
BTC_D4,Q,2019Q4,12,0.15712532399356796,-0.8734680580417974,1,11
BTC_D4,Q,2020Q1,14,0.9897027317325846,-0.00722753904193872,5,9
BTC_D4,Q,2020Q2,9,1.3834386903322968,0.24038191166976475,4,5
BTC_D4,Q,2020Q3,13,3.7216572118922238,0.9829561019929056,9,4
BTC_D4,Q,2020Q4,18,0.49526709796313434,-0.44765880548311454,4,14
BTC_D4,Q,2021Q1,15,0.4594321560187797,-0.4682430941858978,3,12
BTC_D4,Q,2021Q2,16,0.2587551010626809,-0.7101387852368588,2,14
BTC_D4,Q,2021Q3,19,1.2824053392615151,0.1827028901809399,8,11
BTC_D4,Q,2021Q4,10,1.213389760050602,0.13930894244549757,4,6
BTC_D4,Q,2022Q1,18,1.7275228438132357,0.41334529857072894,9,9
BTC_D4,Q,2022Q2,19,0.8405560002823083,-0.11798713971930376,6,13
BTC_D4,Q,2022Q3,21,1.0567004330933638,0.040242511712613525,8,13
BTC_D4,Q,2022Q4,10,0.41587481125229764,-0.5566067671677933,2,8
BTC_D4,Q,2023Q1,12,1.5958707484826364,0.3557941637659017,6,6
BTC_D4,Q,2023Q2,9,1.2645831437011785,0.17949509704064778,4,5
BTC_D4,Q,2023Q3,15,0.7441212637810424,-0.22435315507035744,5,10
BTC_D4,Q,2023Q4,13,3.662772701743634,0.9816955609946738,9,4
BTC_D4,Q,2024Q1,12,0.5745908837681616,-0.3594548284148226,3,9
BTC_D4,Q,2024Q2,19,0.9720299145699712,-0.020870909025171688,7,12
BTC_D4,Q,2024Q3,13,0.7154924857637427,-0.24073513829219598,4,9
BTC_D4,Q,2024Q4,18,1.6855396278907078,0.3963920667071795,9,9
BTC_D4,Q,2025Q1,17,2.52824767039405,0.6955057351166885,10,7
BTC_D4,Q,2025Q2,18,1.307667645999953,0.20315857453463865,8,10
BTC_D4,Q,2025Q3,21,1.7230055432307352,0.4248247538789265,11,10
BTC_D4,Q,2025Q4,16,1.2937511069736531,0.19457357956610188,7,9
BTC_D4,Q,2026Q1,19,2.8837568427217293,0.8014911236690604,12,7
